Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Soil_Type,Variety,Crop
90,42,43,20.88,82.0,6.5,202.94,Silty-Clay,Standard_V1,rice
85,58,41,21.77,80.32,7.04,226.66,Clay,Standard_V1,rice
60,55,44,23.0,82.32,7.84,263.96,Silty-Clay,Standard_V1,rice
74,35,40,26.49,80.16,6.98,242.86,Silty-Clay,Standard_V1,rice
78,42,42,20.13,81.6,7.63,262.72,Clay,Standard_V1,rice
69,37,42,23.06,83.37,7.07,251.05,Clay,Standard_V1,rice
69,55,38,22.71,82.64,5.7,271.32,Silty-Clay,Standard_V1,rice
94,53,40,20.28,82.89,5.72,241.97,Clay-Loam,Standard_V1,rice
89,54,38,24.52,83.54,6.69,230.45,Silty-Clay,Standard_V1,rice
68,58,38,23.22,83.03,6.34,221.21,Silty-Clay,Standard_V1,rice
91,53,40,26.53,81.42,5.39,264.61,Silty-Clay,Standard_V1,rice
90,46,42,23.98,81.45,7.5,250.08,Silty-Clay,Standard_V1,rice
78,58,44,26.8,80.89,5.11,284.44,Clay,Standard_V1,rice
93,56,36,24.01,82.06,6.98,185.28,Silty-Clay,Standard_V1,rice
94,50,37,25.67,80.66,6.95,209.59,Clay-Loam,Standard_V1,rice
60,48,39,24.28,80.3,7.04,231.09,Clay,Standard_V1,rice
85,38,41,21.59,82.79,6.25,276.66,Clay-Loam,Standard_V1,rice
91,35,39,23.79,80.42,6.97,206.26,Clay-Loam,Standard_V1,rice
77,38,36,21.87,80.19,5.95,224.56,Clay-Loam,Standard_V1,rice
88,35,40,23.58,83.59,5.85,291.3,Clay-Loam,Standard_V1,rice
89,45,36,21.33,80.47,6.44,185.5,Clay,Standard_V1,rice
76,40,43,25.16,83.12,5.07,231.38,Clay,Standard_V1,rice
67,59,41,21.95,80.97,6.01,213.36,Clay-Loam,Standard_V1,rice
83,41,43,21.05,82.68,6.25,233.11,Clay-Loam,Standard_V1,rice
98,47,37,23.48,81.33,7.38,224.06,Clay,Standard_V1,rice
66,53,41,25.08,80.52,7.78,257.0,Clay,Standard_V1,rice
97,59,43,26.36,84.04,6.29,271.36,Clay,Standard_V1,rice
97,50,41,24.53,80.54,7.07,260.26,Silty-Clay,Standard_V1,rice
60,49,44,20.78,84.5,6.24,240.08,Silty-Clay,Standard_V1,rice
84,51,35,22.3,80.64,6.04,197.98,Silty-Clay,Standard_V1,rice
73,57,41,21.45,84.94,5.82,272.2,Clay-Loam,Standard_V1,rice
92,35,40,22.18,80.33,6.36,200.09,Silty-Clay,Standard_V1,rice
85,37,39,24.53,82.74,6.36,224.68,Clay-Loam,Standard_V1,rice
98,53,38,20.27,81.64,5.01,270.44,Clay-Loam,Standard_V1,rice
88,54,44,25.74,83.88,6.15,233.13,Silty-Clay,Standard_V1,rice
95,55,42,26.8,82.15,5.95,193.35,Clay-Loam,Standard_V1,rice
99,57,35,26.76,81.18,5.96,272.3,Silty-Clay,Standard_V1,rice
95,39,36,23.86,83.15,5.56,285.25,Silty-Clay,Standard_V1,rice
60,43,44,21.02,82.95,7.42,298.4,Clay,Standard_V1,rice
63,44,41,24.17,83.73,5.58,257.03,Silty-Clay,Standard_V1,rice
62,42,36,22.78,82.07,6.43,248.72,Clay,Standard_V1,rice
64,45,43,25.63,83.53,5.53,209.9,Silty-Clay,Standard_V1,rice
83,60,36,25.6,80.15,6.9,200.83,Silty-Clay,Standard_V1,rice
82,40,40,23.83,84.81,6.27,298.56,Clay,Standard_V1,rice
85,52,45,26.31,82.37,7.22,265.54,Clay,Standard_V1,rice
91,35,38,24.9,80.53,6.13,183.68,Silty-Clay,Standard_V1,rice
76,49,42,24.96,84.48,5.21,196.96,Clay-Loam,Standard_V1,rice
74,39,38,23.24,84.59,7.78,233.05,Clay,Standard_V1,rice
79,43,39,21.67,80.71,7.06,210.81,Clay-Loam,Standard_V1,rice
88,55,45,24.64,80.41,7.73,253.72,Clay-Loam,Standard_V1,rice
60,36,43,23.43,83.06,5.29,219.9,Clay-Loam,Standard_V1,rice
76,60,39,20.05,80.35,6.77,208.58,Clay,Standard_V1,rice
93,56,42,23.86,82.23,7.38,195.09,Clay-Loam,Standard_V1,rice
65,60,43,21.97,81.9,5.66,227.36,Clay,Standard_V1,rice
95,52,36,26.23,83.84,5.54,286.51,Clay-Loam,Standard_V1,rice
75,38,39,23.45,84.79,6.22,283.93,Silty-Clay,Standard_V1,rice
74,54,38,25.66,83.47,7.12,217.38,Silty-Clay,Standard_V1,rice
91,36,45,24.44,82.45,5.95,267.98,Clay,Standard_V1,rice
71,46,40,20.28,82.12,7.24,191.95,Silty-Clay,Standard_V1,rice
99,55,35,21.72,80.24,6.5,277.96,Silty-Clay,Standard_V1,rice
72,40,38,20.41,82.21,7.59,245.15,Clay-Loam,Standard_V1,rice
83,58,45,25.76,83.52,5.88,245.66,Clay,Standard_V1,rice
93,58,38,20.62,83.77,6.93,279.55,Clay-Loam,Standard_V1,rice
70,36,42,21.84,80.73,6.95,202.38,Clay-Loam,Standard_V1,rice
76,47,42,20.08,83.29,5.74,263.64,Clay-Loam,Standard_V1,rice
99,41,36,24.46,82.75,6.74,182.56,Clay-Loam,Standard_V1,rice
99,54,37,21.14,80.34,5.59,198.67,Clay-Loam,Standard_V1,rice
86,59,35,25.79,82.11,6.95,243.51,Clay-Loam,Standard_V1,rice
69,46,41,23.64,80.29,5.01,263.11,Clay-Loam,Standard_V1,rice
91,56,37,23.43,80.57,6.36,269.5,Clay,Standard_V1,rice
61,52,41,24.98,83.89,6.88,204.8,Silty-Clay,Standard_V1,rice
67,45,38,22.73,82.17,7.3,260.89,Clay-Loam,Standard_V1,rice
79,42,37,24.87,82.84,6.59,295.61,Clay-Loam,Standard_V1,rice
78,43,42,21.32,83.0,7.28,192.32,Clay-Loam,Standard_V1,rice
75,54,36,26.29,84.57,7.02,257.49,Clay-Loam,Standard_V1,rice
